name,type,lat,lon,side,opened_year,opened_source,size,control,notes,source_urls
Mustang Royale Blvd - Mustang Royale NUD,subdivision,27.77967,-97.10465,E,"NCAD: earliest lot deeds 1999, earliest sampled home 2002",NCAD S5608,49 NCAD parcels,plain T; unsignalized; center turn lane available,,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
"Keewaydin Lane (+ unnamed one-way pair) - Cinnamon Shore North, north entrance",master-planned resort community,27.77832,-97.10557,E,Cinnamon Shore est. 2006; construction began 2007; first home sale 2008,cinnamonshore.com ('Est. 2006'); GlobeNewswire Jun 13 2017; Texas Architect May 2020,Cinnamon Shore North 63 ac; 200 lots (75 multi-family); $275M buildout (2017 PR),divided (one-way in/out) T; unsignalized; center turn lane,,https://web.archive.org/web/20170613212101id_/https://globenewswire.com/news-release/2017/06/13/1018389/0/en/Sea-Oats-Group-Announces-1-3-Billion-Phase-II-Expansion-of-Cinnamon-Shore-on-the-Texas-Gulf-Coast.html; https://www.cinnamonshore.com/about/; https://magazine.texasarchitects.org/2020/05/06/architect-designed-luxury-developments-in-port-aransas-weather-the-storm/
Beachwalk Lane - Beachwalk NUD / Beachwalk Unit 2 NUD / Leeward Bay Townhomes,subdivision,27.77729,-97.10626,E,"NCAD: Beachwalk NUD earliest lot deeds 1997, earliest sampled home 1999",NCAD S0549/S0548/S4344,NCAD: Beachwalk NUD 72 parcels; Leeward Bay Townhomes 23,plain T; unsignalized,NCAD-addressed parcels in the 4801-4903 SH 361 block (El Cortez Villas 40 units built 1979-80; Dorado Dunes Beach Club 7 units; Casa del Cortes 34 units 1984; Casa La Playa 9 units 2015; Gulf Vista Villas 7 units 1997; White Marlin Estates) - their individual driveways were not resolvable in OSM.,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Cinnamon Shore North - private service drives (Compass Rose Ln / Hideaway Dr),master-planned resort community,27.77671,-97.10665,E,2007-08 (see Cinnamon Shore North),-,part of 63-ac Cinnamon Shore North,private driveways (OSM w519470749 at 27.77671 & 27.77575; w691130126 at 27.77621),,OpenStreetMap via Overpass API (2026-08-15)
Market Street - Cinnamon Shore North main/Town Center entrance,master-planned resort community,27.77475,-97.10798,E,2007-08 (see Cinnamon Shore North),-,"Town Center, Lisabella's, One Town Center; CCRTA bus stop 'Port Royal (Hwy 361)' at 27.77467",plain T; unsignalized; center turn lane,,OpenStreetMap via Overpass API (2026-08-15)
Bent Grass Drive - Cinnamon Shore North south entrance,master-planned resort community,27.77323,-97.109,E,2007-08 (Cinnamon Shore NUD Unit 1),NCAD S1599,Cinnamon Shore NUD Unit 1 = 87 NCAD parcels,plain T; unsignalized,,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Beach Access Road 1-B (new),public access road,27.7725,-97.1095,E,"OPENED Monday March 2, 2026 (ground broken July 23, 2025)",https://www.portasouthjetty.com/articles/new-beach-access-road-opens/ (Mar 4 2026); https://www.portasouthjetty.com/articles/ground-is-broken-on-new-beach-access-road/ (Jul 30 2025),"2-lane road w/ center median + 5-ft sidewalk; ~$1.3M (Mako Contracting bid $1,325,951.99, awarded May 13 2025); on 40-ft city easement (relocated by council Mar 21 2024)","unsignalized permanent; road 'expands to three lanes where the street meets SH-361, with a center-left-turn lane, a right-turn lane and a lane for motorists coming onto the road' (SJ); TEMPORARY police-operated signal during Spring Break 2026","Debated since Sept 2021 (council eyed 40-ft easement just S of Cinnamon Shore North; Cinnamon Shore objected Oct 2021; CO bonds Nov 18 2021, ~$900k est.). KIII (Jul 2026) misstates opening as March 2025.",https://www.portasouthjetty.com/articles/new-beach-road/; https://www.portasouthjetty.com/articles/access-road-1b/; https://www.portasouthjetty.com/articles/bonds-sought-for-access-road/; https://www.portasouthjetty.com/articles/city-decides-on-different-spot-for-access-road/; https://www.yahoo.com/news/us/articles/mustang-island-beach-access-road-041411023.html
Private track (bay side),unknown/private,27.77045,-97.11087,W,n.d.,-,-,private track (OSM w519470732),Unidentified bay-side tract access.,OpenStreetMap via Overpass API (2026-08-15)
Spoonbill Bay (A Particular Harbor PUD) - probable entrance,subdivision (new),27.76842,-97.11224,W,"utility work began ~Sept 2023; ground broken/underway Nov 2023; Phase 1 = 74 NCAD parcels, lot deeds from 2024, first homes 2025 (NCAD S8350); Phase II (11.68 ac) + pool tract plats Oct 2023; 'Spoon Bill Bay water park plans' submitted 2025","https://www.portasouthjetty.com/articles/work-begins-on-spoonbill-development/ (Nov 1 2023); Port A council packets Feb 23 & Oct 19 2023, Sep 18 2025 (cached)",35.08-ac tract; 205 single-family homes and townhomes planned; 5200 blk of Hwy 361,plain T (OSM w1513581609); unsignalized,"TxDOT 2024 interactive-map comment: 'Spoon Bill Bay, 200 Lot sub-division. Stripes store, will need driveway access.' Side/identity of this OSM stub inferred; VERIFY.","see sources; https://www.txdot.gov/projects/hearings-meetings/corpus-christi/2024/sh361-mustang-island-project-091924.html (public-meeting summary PDF, cached txdot/sh361_pm_summary.txt)"
Private beach-side driveway (to Beach Marker 50),unknown/private,27.76746,-97.11289,E,n.d.,-,-,"private driveway (OSM w519470731, 24 nodes)",Unidentified private tract between BAR 1-B and Sunrise Beach (possibly Cinnamon Shore 'Traditions'/Lots 12-13 area).,OpenStreetMap via Overpass API (2026-08-15)
Sunrise Beach Condominiums (5497 SH 361),condominium subdivision (new),27.76382,-97.11534,E,"first units built 2023 (NCAD earliest improvement 2023; deeds from 2022); Phase 1 complete, homes still building 2025",https://esearch.nuecescad.net/ (Nueces CAD eSearch) C8568; https://sunrisebeachporta.com/,19 ac ('Port Aransas' newest 19-acre development'); ~93 platted units (65 on 2026 roll),divided one-way in/out with parking aisles (OSM w216265115/w216265087); unsignalized,Also a bay-side track opposite (OSM w519470729).,https://sunrisebeachporta.com/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Grand Caribbean at Dune Crest (5495 SH 361) - probable driveway,condominium,27.7623,-97.11637,E,built 2001 (NCAD 'Condominiums at Dune Crest' earliest improvement 2001; deeds 2002),https://esearch.nuecescad.net/ (Nueces CAD eSearch) S1720; Yelp listing,40 units (Yelp); 31 NCAD parcels,private driveway (OSM w519470760); unsignalized,,https://www.yelp.com/biz/grand-caribbean-at-dune-crest-port-aransas; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Bay-side service drive opposite Gulf Waters (city water tower / 33-ac nature-preserve site),public utility / park (planned),27.76139,-97.11698,W,n.d.,Port A budget workshop Jul 7 2022 (cached ws_2022-07-07),33 ac 'near the new water tower across from Gulf Waters RV',plain driveway (OSM w519466396),,cached packet ws_2022-07-07.txt
Gulf Waters Beach Front RV Resort (5601 SH 361),RV resort (condo lots),27.76101,-97.11723,E,"NCAD earliest sampled improvement 2001, deeds from 2004 (opening year not confirmed on developer site)",https://esearch.nuecescad.net/ (Nueces CAD eSearch) C3076; gulfwaters.com,158 RV sites (Yelp); 172 NCAD condo units,plain driveway; unsignalized; TxDOT: safety lighting installed at 'the intersections of La Concha Boulevard and Gulf Waters RV Resort' (Caller-Times Aug 16 2024),,https://gulfwaters.com/directions/; https://eu.caller.com/story/news/local/2024/08/16/plans-underway-to-widen-state-highway-361-as-crashes-add-up/74796020007/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Sea Scamper Blvd - Cinnamon Shore South (Unit 5),master-planned resort community,27.75908,-97.11854,E,"Phase II announced Jun 13 2017 (site work under way; homes from mid/late 2018); CS South Unit 1 plat ~2019 (Vol 69), Unit 2 34.64 ac Aug 2020, Unit 5, Unit 6 27.42 ac 2022; PUD rezoning (Cinnamon Shore II) 2016","GlobeNewswire Jun 13 2017; South Jetty '$1 billion buildup' (Jan 14 2016), 'Council to ponder Cinnamon Shore II' (Feb 18 2016); Port A packets/notices 2020-2023; NCAD S1616-S1626","Cinnamon Shore II PUD 234 ac / ~1,000 units on both sides of SH 361 (2016); 'Memories' area 78 ac/324 units N of La Mirage; CS South ~147-150 ac (2023 PR); Phase II 250+ ac incl. planned 'Cinnamon Shore Bay Shore' (bay side, not yet built - 'third subdivision' Apr 2023)",plain T; unsignalized; within center-turn-lane section,"Cinnamon Shore South streets with SH 361 frontage: Sea Scamper Blvd, Dewdrop St, Seven Day Weekend St, Beautiful Day St, plus Tailwind Dr internal.",https://www.portasouthjetty.com/articles/1-billion-buildup/; https://www.portasouthjetty.com/articles/council-to-ponder-cinnamon-shore-ii/; https://www.portasouthjetty.com/articles/cinnamon-shores-third-subdivision-remains-on-horizon/; https://www.prnewswire.com/news-releases/cinnamon-shore-announces-major-new-luxury-resort-amenities-at-premier-master-planned-community-on-mustang-island-texas-301848646.html; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Dewdrop Street - Cinnamon Shore South,master-planned resort community,27.75703,-97.11992,E,2019-2024 (see CS South),-,-,plain T; unsignalized,,OpenStreetMap via Overpass API (2026-08-15)
Seven Day Weekend Street - Cinnamon Shore South,master-planned resort community,27.75565,-97.12085,E,2018-2020 (see CS South),-,-,plain T; unsignalized,,OpenStreetMap via Overpass API (2026-08-15)
Beautiful Day Street - Cinnamon Shore South (Unit 1),master-planned resort community,27.75416,-97.12185,E,2018-2020 (CS South Unit 1),NCAD S1616,-,plain T; unsignalized,,OpenStreetMap via Overpass API (2026-08-15); https://esearch.nuecescad.net/ (Nueces CAD eSearch)
La Mirage Condominiums (5973 SH 361),condominium,27.75209,-97.12325,E,built 1984 (NCAD earliest improvement 1984),https://esearch.nuecescad.net/ (Nueces CAD eSearch) C4060,121-125 units (NCAD),divided one-way in/out (OSM w216264992/w216264990); unsignalized; center turn lane,La Mirage residents sent 100+ protest letters against Cinnamon Shore II rezoning (2016).,https://esearch.nuecescad.net/ (Nueces CAD eSearch); https://www.portasouthjetty.com/articles/council-to-ponder-cinnamon-shore-ii/
Water tower service drive (Port Aransas city limit),public utility,27.75143,-97.12369,W,n.d.,-,NCWCID#4 water tower (OSM man_made=water_tower),plain driveway (OSM w1212119883),,OpenStreetMap via Overpass API (2026-08-15)
Mariners Drive - Mariners Watch,subdivision,27.75125,-97.12382,E,"NCAD: earliest deeds 1998, earliest sampled home 2007",NCAD S4805,30 NCAD parcels (0.24-ac lots),plain T; unsignalized; end of center-turn-lane section is at Port Royal (27.7415),At the Port Aransas / Corpus Christi city limit (OSM node 27.75124).,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Gulf Shores condominiums,condominium,27.75085,-97.12409,E,NCAD_PENDING,NCAD (StreetName GULF SHORES / OwnerName),-,plain driveway (OSM w21158280); unsignalized,,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Driveway (parking/tennis) - Mustang Island Beach Bungalows (6233) or Mustang Island Beach Club (6275),condominium,27.74873,-97.12552,E,"MI Beach Club: 32-unit timeshare, ~1984 (NCAD deed 2009 sample; Yelp/TUG); MI Beach Bungalows: 8-unit new condo (NCAD C5479)",https://esearch.nuecescad.net/ (Nueces CAD eSearch); Yelp,MIBC 32 units; Bungalows 8 units,plain driveway (OSM w1159707462); second new driveway at 27.74779 (OSM w1513581636),Which of the two driveways serves which property was not resolved.,https://www.yelp.com/biz/mustang-island-beach-club-port-aransas; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Port Royal Ocean Resort & Conference Center (6317 SH 361) - main entrance,resort/condominium,27.74535,-97.12779,E,opened 1984-85 ('since 1984' brunch; NCAD earliest improvement 1985),port-royal.com; search snippets; NCAD C6948,25 ac; 210 condominiums (162 NCAD units w/ SH 361 address),divided one-way in/out (OSM w216264586/w216264595/w216264620); second service pair at 27.74389/27.74379; unsignalized; northbound left-turn lane on approach (OSM w1017910549 turn:lanes:backward left;through|through),,https://port-royal.com/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
NEW Corpus Christi beach access road (2024 bond) - under construction,public access road (planned/under construction),27.7385,-97.1324,E,2024 bond; design began 2022; construction est. April 2025; completion expected end of 2026 (KIII Jul 12 2026),KIII via Yahoo (Jul 12 2026); KIII 'New SH 361 beach access road to help first responders' (search snippet); NCAD 'PORTO VILLAGEO 80' ROW (FUTURE ACCESS RD)' 6509-6557 SH 361,$4.4M; 2-lane road SH 361 to beach 'just south of Port Royal Resort' / 'just south of Mustang Island Estates Drive',not yet built; control unknown,Coordinates approximate (Porto Villageo future-access ROW). City's Feb 2024 mobility memo lists a 'Beach Access Road 3' new 2-lane road at 30% design - naming/identity vs. existing Access Rd 3 not resolved.,https://www.yahoo.com/news/us/articles/mustang-island-beach-access-road-041411023.html; https://www.corpuschristitx.gov/media/iroft2nf/mustang-padre-island-mobility-existing-conditions.pdf; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Mustang Island Estates Drive,subdivision,27.74235,-97.12981,E,NCAD: earliest sampled deeds 2003 (subdivision older; no year-built captured in sample),NCAD S5487,14 NCAD parcels; private street (6401 SH 361),divided one-way in/out (OSM); unsignalized,,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Porto Villageo Drive - Porto Villageo / Porto Villageo PUD,subdivision,27.7385,-97.13239,E,"NCAD: earliest sampled deeds 2009, earliest sampled home 2016 (plat likely mid-2000s - not confirmed)",NCAD S6981/S6982,"39 NCAD parcels (Villa Pamplona/Soria/Castellon, Porto Fino)","divided one-way in/out (OSM); unsignalized; passing-lane section begins S of here (OSM lanes=3, 27.7384-27.7258)",,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Seacomber Drive - Sea Gull Condos (6649) & Sandpiper Condos (6745),condominiums,27.73618,-97.13395,E,Sea Gull built 1982 (NCAD); Sandpiper built 1985 (NCAD; deeds 1980),https://esearch.nuecescad.net/ (Nueces CAD eSearch) C7833/C7655,108 + 108 NCAD units,divided one-way in/out (OSM w216263739/w216263834); unsignalized,Bay-side parking areas opposite (OSM w242760870 at 27.73618; w21148239 at 27.73503).,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Lost Colony (gated Gulf-front community),subdivision,27.73075,-97.13764,E,NCAD_PENDING,NCAD,-,single driveway/gate (OSM w21147947); unsignalized,,https://www.lostcolonyonthebeach.com/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Beach View Drive - Beach View Estates,subdivision,27.73006,-97.13809,E,NCAD_PENDING,NCAD S0558,34 NCAD parcels; private road (6905 SH 361),plain T; unsignalized,,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
"Mustang Island Conference Center (Episcopal Diocese of West Texas), 6981 SH 361",conference center / camp,27.72881,-97.13892,E,"NCAD tract (Mustang Island Sec 2, 17 parcels): earliest improvement 1986, deeds 1988","https://esearch.nuecescad.net/ (Nueces CAD eSearch) S5491; Google Maps listing 6981 TX-361 (27.7274,-97.1366)",NCAD sample tract 12.78 ac,plain driveway (OSM w519211814); unsignalized,"TxDOT 2024 comment: 'Challenging with solid median and providing access to MIECC entry; perhaps something joint for conf center, beach view, and Lost Colony'.","https://esearch.nuecescad.net/ (Nueces CAD eSearch); https://www.txdot.gov/projects/hearings-meetings/corpus-christi/2024/sh361-mustang-island-project-091924.html (public-meeting summary PDF, cached txdot/sh361_pm_summary.txt)"
Utility roads - N. Mustang Island gas gathering / AEP Mustang Island substation,utility/industrial,27.72541,-97.14121,"W (+ E private drive 27.72656; W 27.72579, 27.72310)",n.d.,-,-,private service roads (OSM w21148231 47 nodes; w1513621347; w1018941287; w1018941425),,OpenStreetMap via Overpass API (2026-08-15)
West Palm Beach Road (+ private drive at 27.72225),subdivision (small),27.72208,-97.14346,E,NCAD_PENDING,NCAD (StreetName PALM BEACH),-,plain T; unsignalized,,https://esearch.nuecescad.net/ (Nueces CAD eSearch)
"La Concha Blvd - La Concha Estates (Units 1-3), Bella Vista & Bella Vista North condos, Mayan Princess (7477), Admirals Row (7393)",subdivision + condominiums,27.71853,-97.14586,E,Mayan Princess built 1984 (NCAD; deeds 1980); Admirals Row 1984 (NCAD); La Concha Estates NCAD_PENDING; Bella Vista North NCAD_PENDING,https://esearch.nuecescad.net/ (Nueces CAD eSearch) C4915/C0036/S4044/S0610/C0609,Mayan Princess 50 units; Admirals Row 11; Bella Vista North 40; La Concha Estates 12+12+4 parcels,divided one-way in/out (OSM w216262288/w216262568); unsignalized; northbound left-turn lane (OSM w1017881021 turn:lanes:backward left|through); TxDOT safety lighting installed (Caller-Times Aug 16 2024),Public comments (TxDOT 2024): 'I have in La Concha Estates and there have been over 6 accidents and fatalities within a mile from where our family lives.',"https://esearch.nuecescad.net/ (Nueces CAD eSearch); https://www.txdot.gov/projects/hearings-meetings/corpus-christi/2024/sh361-mustang-island-project-091924.html (public-meeting summary PDF, cached txdot/sh361_pm_summary.txt)"
Sea Way Drive - La Concha Estates,subdivision,27.71556,-97.14783,E,NCAD_PENDING,NCAD (StreetName SEA WAY),-,plain T; unsignalized,"Bay-side track at 27.71643 and service drives at 27.71446/27.71361 opposite (raw acreage: Davis A B Sur 113.7 ac, Island Acres 20 ac, Needmore Ranch).",https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Unidentified new driveway (E),unknown,27.70941,-97.15199,E,n.d.,-,-,"plain driveway (OSM w1513621335, new)",,OpenStreetMap via Overpass API (2026-08-15)
Beach Access Road 2 (Corpus Christi),public access road,27.70592,-97.15435,E,n.d. (long-existing),-,"city beach access road; W private road opposite (OSM w21147507, 45 nodes)",unsignalized; OSM 4-lane intersection with left- and right-turn lanes (w1017855301/w1017854531); passing-lane section 27.7106-27.6925; TxDOT safety lighting installed (Caller-Times Aug 16 2024); STOP on BAR 2,Public comment (TxDOT 2024): 'Need access for fire trucks and beach maintenance equipment from fire station #16 to Beach Access #2 ... A traffic light will at some point become necessary because of future population density.',"OpenStreetMap via Overpass API (2026-08-15); https://www.txdot.gov/projects/hearings-meetings/corpus-christi/2024/sh361-mustang-island-project-091924.html (public-meeting summary PDF, cached txdot/sh361_pm_summary.txt)"
Frontside Drive - Island Park Estates (+ CC Fire Station 16 driveways 27.70040/27.70000),subdivision + fire station,27.70144,-97.15735,E,NCAD_PENDING (Island Park Estates); Fire Station 16 opening n.d.,NCAD S3714,21 NCAD parcels; Fire Station 16 at 8185 SH 361,divided one-way in/out (OSM w350222887/w350222885); unsignalized,,https://esearch.nuecescad.net/ (Nueces CAD eSearch); OpenStreetMap via Overpass API (2026-08-15)
Bay-side residence driveway (8147 SH 361),residence,27.69152,-97.16403,W,n.d.,-,-,plain driveway (OSM w1018945331),,OpenStreetMap via Overpass API (2026-08-15)
Fish Pass / Mustang Island Paddling Trail bay-side access,public (state park bay side),27.68215,-97.17032,W,state park opened 1979,Wikipedia (Mustang Island State Park),-,track (OSM w350235745) + service drive at 27.67780 (w350375408),,https://en.wikipedia.org/wiki/Mustang_Island_State_Park; OpenStreetMap via Overpass API (2026-08-15)
Mustang Island State Park entrance,state park,27.67419,-97.17563,E,land purchased 1972; opened 1979,https://en.wikipedia.org/wiki/Mustang_Island_State_Park,"3,954 ac; 5 mi beachfront; 48 water/electric + 300 primitive sites",unsignalized; OSM turn lanes both directions (w1017849824 backward left|through; w1017849823 forward through|right); TxDOT safety lighting installed (Caller-Times Aug 16 2024); STOP at exit,"2006 'Maravilla Del Mar' proposal (3 high-rises, 500 units, 23 ac 'just north of Mustang Island State Park') was never built (South Jetty Nov 9 2006).",https://en.wikipedia.org/wiki/Mustang_Island_State_Park; https://www.portasouthjetty.com/articles/development-to-change-skyline/
Bay-side service drive (state park south),unknown,27.66923,-97.17897,W,n.d.,-,-,plain driveway (OSM w1018946413),,OpenStreetMap via Overpass API (2026-08-15)
